Brand,Model,Body_Type,Price_Min_Lakh,Price_Max_Lakh,Price_Avg_Lakh,Price_INR,Mileage_Min_kmpl,Mileage_Max_kmpl,Mileage_Avg_kmpl,Engine_Min_CC,Engine_Max_CC,Engine_Avg_CC,Safety_Rating,Safety_Rating_Available,NCAP_Body,Fuel_Type_Primary,Fuel_Type_Full,Transmission_Primary,Transmission_Full,Seating_Min,Seating_Max,Key_Strengths,Things_To_Consider
Maruti,Alto K10,Hatchback,3.99,5.96,4.975,497500.0,24.39,33.85,29.12,998.0,998.0,998.0,2.0,True,Global NCAP,Petrol,Petrol & CNG,Manual,Manual & Automatic,5.0,5.0,Outstanding fuel efficiency of 29.1 kmpl — ideal for daily commuters who want to cut fuel costs. | Equipped with essential safety features including airbags and ABS for basic road protection. | Compact footprint makes it effortless to navigate congested city lanes and find parking spots.,Received only 2-star NCAP rating — consider adding aftermarket safety accessories if safety is a priority. | Compact cabin restricts legroom for tall rear passengers on extended journeys.
Maruti,S-Presso,Hatchback,4.26,6.11,5.1850000000000005,518500.0,24.44,32.73,28.585,998.0,998.0,998.0,0.0,True,Global NCAP,Petrol,Petrol & CNG,Manual,Manual & Automatic,4.0,5.0,Outstanding fuel efficiency of 28.6 kmpl — ideal for daily commuters who want to cut fuel costs. | Packed with active safety tech making it a dependable choice for family use. | Lightweight hatchback body helps achieve lively performance even from a smaller engine.,NCAP crash-test data is unavailable; independently verify safety features before purchase. | Smaller boot space compared to sedans and SUVs may be limiting for heavy packers.
Renault,Kwid,Hatchback,4.7,6.45,5.575,557500.0,21.7,22.0,21.85,999.0,999.0,999.0,1.0,True,Global NCAP,Petrol,Petrol,Manual,Manual & Automatic,5.0,5.0,Solid mileage of 21.9 kmpl keeps your monthly fuel bill comfortably in check. | Equipped with essential safety features including airbags and ABS for basic road protection. | Choice of manual and automatic gearbox lets buyers pick the driving experience they prefer.,Received only 1-star NCAP rating — consider adding aftermarket safety accessories if safety is a priority. | Small 999 cc engine may feel strained when fully loaded or on steep inclines at speed.
Maruti,Ignis,Hatchback,5.84,8.3,7.07,707000.0,20.89,20.89,20.89,1197.0,1197.0,1197.0,5.0,False,,Petrol,Petrol,Manual,Manual & Automatic,5.0,5.0,Solid mileage of 20.9 kmpl keeps your monthly fuel bill comfortably in check. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Refined 1197 cc engine hits a sweet spot between everyday driveability and fuel economy.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Smaller boot space compared to sedans and SUVs may be limiting for heavy packers.
Maruti,Eeco,Van,5.32,6.58,5.95,595000.0,19.6,19.6,19.6,1197.0,1197.0,1197.0,5.0,False,,Petrol,Petrol & CNG,Manual,Manual,5.0,7.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Refined 1197 cc engine hits a sweet spot between everyday driveability and fuel economy.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Manual-only transmission can cause clutch fatigue during prolonged stop-start city driving.
Renault,Kiger,SUV,6.0,11.23,8.615,861500.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Petrol,Petrol,Manual,Manual,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Higher ground clearance handles rough roads and speed breakers with ease.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Manual-only transmission can cause clutch fatigue during prolonged stop-start city driving.
Maruti,Celerio,Hatchback,5.36,7.1,6.23,623000.0,19.6,19.6,19.6,1489.5,1489.5,1489.5,5.0,False,,Petrol,Petrol,Manual,Manual,5.0,5.0,Decent real-world mileage of 19.6 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Refined 1490 cc engine hits a sweet spot between everyday driveability and fuel economy.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Compact cabin restricts legroom for tall rear passengers on extended journeys.
Citroen,C3,Hatchback,6.16,9.08,7.62,762000.0,19.3,19.3,19.3,1198.0,1199.0,1198.5,5.0,False,,Petrol,Petrol,Manual,Manual,5.0,5.0,Decent real-world mileage of 19.3 kmpl balances performance with economy. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | Mid-range pricing of ₹7.62 lakh (avg) puts a feature-rich package within comfortable reach.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Smaller boot space compared to sedans and SUVs may be limiting for heavy packers.
Renault,Triber,MPV,6.0,8.98,7.49,749000.0,18.2,19.0,18.6,999.0,999.0,999.0,4.0,True,Global NCAP,Petrol,Petrol,Manual,Manual & Automatic,7.0,7.0,"Decent real-world mileage of 18.6 kmpl balances performance with economy. | Secured a strong 4-star NCAP safety rating, giving you reliable crash protection. | Compact 999 cc engine keeps the car light and nimble for urban use.",Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Small 999 cc engine may feel strained when fully loaded or on steep inclines at speed.
Maruti,Brezza,SUV,8.34,14.14,11.24,1124000.0,19.05,25.51,22.28,1462.0,1462.0,1462.0,5.0,False,,Petrol,Petrol & CNG,Manual,Manual & Automatic,5.0,5.0,Solid mileage of 22.3 kmpl keeps your monthly fuel bill comfortably in check. | Achieved a perfect 5-star NCAP safety rating — one of the safest cars in its segment. | CNG fuel option cuts running cost by nearly 40–50 % compared to petrol at current prices.,Fuel costs may rise noticeably if used primarily for long highway trips at high speeds. | Higher kerb weight of the SUV body slightly reduces acceleration response compared to hatchbacks.
